姓名,性别,计算机基础,高等数学,大学英语,普通物理,革命史,体育,名次,平均分
周良乐,男,96.5,86.5,90.5,94,99.5,70,1,89.5
章燕,女,77,60.5,66.5,84,98,93,2,79.83
黄凯东,男,82.5,78,81,96.5,96.5,57,3,81.92
伊然,女,79.5,98.5,68,100,96,66,4,84.67
刘玉晓,女,93.5,85.5,77,81,95,78,5,85.0
沈君毅,男,62.5,76,57,67.5,88,84.5,6,72.58
肖琪,女,71.5,59.5,88,63,88,60.5,7,71.75
刘会民,男,93,71.5,92,96.5,87,61,8,83.5
张志强,男,76.5,70,64,75,87,78,9,75.08
高志毅,男,66.5,92.5,95.5,98,86.5,71,10,85.0
萧潇,女,75.5,72.5,75,92,86,55,11,76.0
侯跃飞,男,84.5,71,99.5,89.5,84.5,58,12,81.17
肖童童,女,97.5,76,72,92.5,84.5,78,13,83.42
戴威,男,73.5,91.5,64.5,93.5,84,87,14,82.33
章戎,男,81,55.5,61,91.5,81,59,15,71.5
张悦群,女,63,99.5,78.5,63.5,79.5,65.5,16,74.92
王晓燕,女,62.5,57.5,85,59,79,61.5,17,67.42
魏晓,男,87.5,63.5,67.5,98.5,78.5,94,18,81.58
张倩倩,女,75.5,62.5,87,94.5,78,91,19,81.42
张月,女,74,72.5,67,94,78,90,20,79.25
薛利恒,男,72.5,74.5,60.5,87,77,78,21,74.92
叶辉,男,75.5,60.5,85,57,76,83.5,22,72.92
刘泽安,男,94,68.5,78,60.5,76,67,23,74.0
吴开,男,63.5,73,65,95,75.5,61,24,72.17
殷豫群,男,92,64,97,93,75,93,25,85.67
潘跃,女,56,77.5,85,83,74.5,79,26,75.83
李巧,男,88,82.5,83,75.5,72,90,27,81.83
杜蓉,女,58.5,90,88.5,97,72,65,28,78.5
刘惠,女,84.5,78.5,87.5,64.5,72,76.5,29,77.25
尹志刚,女,96.5,74.5,63,66,71,69,30,73.33
苏武,男,83.5,78.5,70.5,100,68.5,69,31,78.33
周晓彤,女,97,75.5,73,81,66,76,32,78.08
鲁帆,女,82.5,63.5,90.5,97,65.5,99,33,83.0
钟幻,男,76,63.5,84,81,65,62,34,71.92
涂咏虞,女,85.5,64.5,74,78.5,64,76.5,35,73.83
王海强,男,96,72.5,100,86,62,87.5,36,84.0
詹仕勇,男,86.5,65.5,67.5,70.5,62,73.5,37,70.92
张严,男,95,95,70,89.5,61.5,61.5,38,78.75
刘刚,男,80.5,96,72,66,61,85,39,76.75
黎辉,男,68,97.5,61,57,60,85,40,71.42
司徒春,男,75,71,86,60.5,60,85,41,72.92
章中承,男,69,89.5,92.5,73,58.5,96.5,42,79.83
刘思云,女,92.5,93.5,77,73,57,84,43,79.5
李爱晶,女,71.5,61.5,82,57.5,57,85,44,69.08
